"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET capabilities",50,20,24,32,38,490,830,5300,5300,5300
"GET station_ids",64,160,220,380,730,1300,6900,15000,18000,18000
"GET station_time_series",57,130000,174000,178000,224000,274000,817000,909000,944000,944000
"GET table_counts",37,57,71,84,87,110,130,1200,1200,1200
"GET time_bbox",53,7000,11000,25000,44000,51000,54000,55000,60000,60000
"Total",261,450,6300,48000,60000,131000,179000,274000,817000,944000
