"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","capabilities",28,0,22,825,14,16941,87163,0.02
"GET","station_ids",72,0,170,1184,77,19307,161341,0.04
"GET","station_time_series",57,0,123000,189671,55829,866099,42011491,0.03
"GET","table_counts",43,0,67,474,42,16988,2103,0.02
"GET","time_bbox",65,0,5200,17423,665,67271,157931763,0.04
"None","Total",265,0,960,45556,14,866099,47827801,0.15
